starting_order,greedy_ascent_order,best_order,kendall_tau,spearman_rho,spearman_starting_order,spearman_greedy_ascent
[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 1 0],-0.06666666666666667,-0.32121212121212117,-0.309090909090909,-0.309090909090909
[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 1 0],-0.06666666666666667,-0.32121212121212117,-0.309090909090909,-0.309090909090909
[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 1 0],-0.06666666666666667,-0.32121212121212117,-0.309090909090909,-0.309090909090909
[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 1 0],-0.06666666666666667,-0.32121212121212117,-0.309090909090909,-0.309090909090909
[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 1 0],-0.06666666666666667,-0.32121212121212117,-0.309090909090909,-0.309090909090909
[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 1 0],-0.06666666666666667,-0.32121212121212117,-0.309090909090909,-0.309090909090909
[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 1 0],-0.06666666666666667,-0.32121212121212117,-0.309090909090909,-0.309090909090909
[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 1 0],-0.06666666666666667,-0.32121212121212117,-0.309090909090909,-0.309090909090909
[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 1 0],-0.06666666666666667,-0.32121212121212117,-0.309090909090909,-0.309090909090909
[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 0 1],[3 4 5 6 7 8 9 2 1 0],-0.06666666666666667,-0.32121212121212117,-0.309090909090909,-0.309090909090909
